Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
Rp 400 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,38 m2,75 m2,SHM,-
"Rp 3,56 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,197 m2,225 m2,SHM,Non-furnished
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,128 m2,128 m2,SHM,-
Rp 875 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,98 m2,98 m2,SHM,Non-furnished
"Rp 2,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,20 m2,20 m2,SHM,-
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,15 m2,10 m2,SHM,-
"Rp 2,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,250 m2,163 m2,SHM,-
"Rp 1,75 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,250 m2,258 m2,SHM,-
"Rp 2,1 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,200 m2,205 m2,SHM,Non-furnished
Rp 750 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,228 m2,228 m2,SHM,Semi-furnished
"Rp 1,25 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,120 m2,144 m2,SHM,Non-furnished
"Rp 958,11 Juta","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,57 m2,120 m2,HGB,-
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,120 m2,105 m2,SHM,-
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Primary,93 m2,140 m2,SHM,Non-furnished
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,180 m2,200 m2,SHM,Non-furnished
"Rp 1,57 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,110 m2,215 m2,HGB,Non-furnished
"
Rp 800 Juta
","Kalimantan Timur, Samarinda, Sambutan",Rumah,-,63 m2,200 m2,Lain-lain,-
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,200 m2,200 m2,SHM,-
Rp 750 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,38 m2,90 m2,HGB,Non-furnished
Rp 1 Miliar Rp 45 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,100 m2,119 m2,HGB,-
Rp 400 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",Rumah,-,50 m2,100 m2,SHM,-
"Rp 2,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,225 m2,300 m2,SHM,Semi-furnished
Rp 6 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ilir",Rumah,Secondary,542 m2,542 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,100 m2,144 m2,SHM,-
"Rp 3,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,200 m2,265 m2,SHM,Semi-furnished
Rp 550 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,70 m2,102 m2,SHM,Non-furnished
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,102 m2,157 m2,SHM,-
Rp 7 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,60 m2,75 m2,SHM,-
Rp 820 Juta,"Kalimantan Timur, Samarinda, Samarinda Ilir",Rumah,Secondary,144 m2,120 m2,SHM,-
"Rp 4,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,375 m2,300 m2,SHM,-
"Rp 1,11 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,59 m2,105 m2,SHM,-
"Rp 1,57 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,59 m2,207 m2,SHM,-
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,122 m2,128 m2,SHM,-
"Rp 1,54 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,45 m2,140 m2,HGB,-
Rp 560 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,39 m2,72 m2,HGB,-
"Rp 1,12 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,45 m2,126 m2,HGB,-
Rp 921 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,34 m2,96 m2,HGB,-
"Rp 1,06 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,45 m2,108 m2,HGB,-
Rp 697 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,45 m2,105 m2,HGB,-
Rp 750 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,45 m2,119 m2,HGB,-
Rp 958 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,57 m2,120 m2,HGB,-
"Rp 1,21 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,57 m2,160 m2,HGB,-
"Rp 3,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,105.5 m2,317 m2,SHM,-
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,256 m2,400 m2,Lain-lain,-
Rp 450 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,72 m2,187 m2,SHM,-
"Rp 551,94 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,36 m2,90 m2,HGB,-
"Rp 581,09 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,36 m2,102 m2,HGB,-
"Rp 704,35 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,38 m2,108 m2,HGB,-
"Rp 739,35 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Primary,55 m2,72 m2,SHM,-
"Rp 1,16 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,55 m2,107 m2,SHM,-
"Rp 1,01 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,45 m2,126 m2,SHM,-
"Rp 1,17 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,45 m2,162 m2,SHM,-
"Rp 1,32 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,45 m2,199 m2,SHM,-
"Rp 1,64 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,45 m2,278 m2,SHM,-
Rp 840 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,34 m2,96 m2,SHM,-
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,34 m2,185 m2,SHM,-
"Rp 1,06 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,34 m2,150 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,59 m2,119 m2,SHM,-
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,59 m2,95 m2,SHM,-
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,160 m2,105 m2,HGB,Semi-furnished
Rp 650 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,60 m2,90 m2,SHM,-
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,190 m2,75 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,96 m2,126 m2,HGB,-
"Rp 2,76 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,96 m2,147 m2,HGB,-
"Rp 3,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,245 m2,480 m2,SHM,-
Rp 500 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,-,75 m2,120 m2,HGB,-
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,140 m2,75 m2,SHM,Semi-furnished
Rp 900 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,72 m2,120 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,75 m2,131 m2,SHM,-
Rp 10 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,220 m2,706 m2,SHM,-
Rp 548 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Primary,27 m2,84 m2,HGB,-
Rp 700 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,200 m2,200 m2,SHM,Semi-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Primary,87 m2,120 m2,HGB,-
Rp 964 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Primary,54 m2,120 m2,HGB,-
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Primary,93 m2,140 m2,HGB,Non-furnished
Rp 725 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,80 m2,120 m2,SHM,Non-furnished
"Rp 1,99 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Primary,96 m2,126 m2,SHM,-
Rp 525 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,36 m2,119 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ilir",Rumah,Secondary,170 m2,178 m2,SHM,-
"Rp 5,08 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,201 m2,382 m2,HGB,-
"Rp 1,89 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,93 m2,140 m2,HGB,-
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,170 m2,267 m2,SHM,-
"Rp 621,04 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,45 m2,105 m2,PPJB,-
"Rp 853,67 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,57 m2,120 m2,PPJB,-
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,271 m2,271 m2,SHM,-
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,112 m2,256 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,210 m2,163 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,160 m2,200 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,229 m2,200 m2,SHM,-
Rp 548 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,27 m2,84 m2,HGB,-
"Rp 1,67 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,110 m2,215 m2,HGB,-
Rp 975 Juta Rp 40 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,66 m2,108 m2,HGB,Non-furnished
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,100 m2,167 m2,SHM,-
Rp 8 Miliar,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,700 m2,1745 m2,Lain-lain,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,150 m2,200 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,250 m2,163 m2,SHM,Fully-furnished
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,69 m2,103 m2,HGB,Non-furnished
Rp 600 Juta Rp 38 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,90 m2,120 m2,SHM,-
Rp 8 Miliar,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,270 m2,225 m2,SHM,-
Rp 400 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,105 m2,117 m2,HGB,-
Rp 420 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,54 m2,81 m2,SHM,-
"Rp 2,5 Miliar Rp 90 Juta","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,300 m2,180 m2,SHM,Semi-furnished
"Rp 1,55 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,208 m2,208 m2,SHM,-
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,70 m2,124 m2,SHM,-
"Rp 2,95 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,200 m2,200 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,96 m2,126 m2,HGB,-
Rp 900 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,120 m2,277 m2,SHM,-
Rp 500 Juta Rp 25 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,36 m2,72 m2,SHM,Non-furnished
"Rp 1,25 Triliun Rp 50 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,100 m2,120 m2,SHM,-
Rp 650 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,81 m2,81 m2,SHM,-
"Rp 1,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,150 m2,280 m2,SHM,Fully-furnished
"Rp 1,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,334 m2,370 m2,SHM,Non-furnished
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,150 m2,180 m2,SHM,-
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,80 m2,240 m2,Lain-lain,Non-furnished
"Rp 786,5 Juta","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,60 m2,80 m2,SHM,Non-furnished
"Rp 1,62 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,84 m2,105 m2,HGB,Non-furnished
"Rp 1,99 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,96 m2,126 m2,HGB,-
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,38 m2,98 m2,HGB,Non-furnished
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,144 m2,128 m2,HGB,-
Rp 950 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,54 m2,300 m2,SHM,-
Rp 816 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,48 m2,105 m2,HGB,-
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,-,230 m2,240 m2,SHM,-
Rp 12 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,253 m2,450 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,234 m2,336 m2,SHM,-
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,45 m2,84 m2,HGB,-
Rp 950 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,128 m2,154 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,60 m2,200 m2,SHM,-
"Rp 4,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,460 m2,300 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Palaran",Rumah,Secondary,100 m2,1596 m2,SHM,-
Rp 750 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,112 m2,115 m2,SHM,-
Rp 600 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,36 m2,259 m2,SHM,-
"Rp 1,15 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,90 m2,133 m2,SHM,-
"Rp 3,24 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,197 m2,225 m2,HGB,-
"Rp 2,71 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,186 m2,180 m2,HGB,-
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,104 m2,200 m2,SHM,-
Rp 850 Juta,"Kalimantan Timur, Samarinda, Palaran",Rumah,Secondary,156 m2,450 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,108 m2,108 m2,SHM,-
Rp 900 Juta Rp 50 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,38 m2,90 m2,SHM,-
"Rp 1,35 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,93 m2,176 m2,SHM,-
"Rp 2,1 Miliar Rp 80 Juta","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,196 m2,98 m2,SHM,-
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sambutan",Rumah,-,415 m2,600 m2,Lain-lain,-
"Rp 1,55 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,115 m2,260 m2,SHM,-
"Rp 2,75 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,225 m2,144 m2,SHM,-
Rp 650 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,120 m2,120 m2,SHM,Non-furnished
"Rp 920,99 Juta","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,34 m2,96 m2,HGB,-
"Rp 3,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,210 m2,320 m2,SHM,Non-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,154 m2,270 m2,SHM,Fully-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,200 m2,200 m2,SHM,Fully-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,300 m2,400 m2,SHM,Fully-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,450 m2,390 m2,SHM,Non-furnished
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,200 m2,204 m2,SHM,-
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,144 m2,128 m2,SHM,-
"Rp 3,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,165 m2,200 m2,SHM,Non-furnished
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,120 m2,160 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Primary,88 m2,156 m2,HGB,Non-furnished
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Primary,69 m2,103 m2,HGB,Non-furnished
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,100 m2,150 m2,SHM,Non-furnished
"Rp 3,96 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,390 m2,390 m2,SHM,-
"Rp 1,25 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,248 m2,350 m2,SHM,-
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,167 m2,281 m2,SHM,-
"Rp 3,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,180 m2,333 m2,SHM,-
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,45 m2,120 m2,SHM,-
Rp 25 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,700 m2,1349 m2,SHM,-
Rp 4 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,1602 m2,460 m2,SHM,-
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,154 m2,319 m2,SHM,-
Rp 950 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,100 m2,117 m2,SHM,-
"Rp 1,15 Miliar Rp 45 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,90 m2,112 m2,SHM,Non-furnished
"Rp 1,25 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,128 m2,415 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,144 m2,200 m2,SHM,Non-furnished
Rp 6 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,200 m2,240 m2,SHM,-
Rp 950 Juta Rp 45 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,65 m2,96 m2,SHM,Fully-furnished
Rp 900 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,140 m2,240 m2,SHM,-
Rp 650 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,60 m2,80 m2,SHM,Non-furnished
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Palaran",Rumah,-,348 m2,1200 m2,SHM,-
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,160 m2,144 m2,SHM,-
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",Rumah,-,150 m2,200 m2,SHM,-
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,65 m2,138 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,103 m2,200 m2,SHM,-
"Rp 3,1 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,300 m2,420 m2,SHM,-
Rp 580 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,150 m2,150 m2,SHM,-
Rp 600 Juta Rp 55 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,120 m2,132 m2,SHM,Semi-furnished
Rp 500 Juta,"Kalimantan Timur, Samarinda, Samarinda Ilir",Rumah,-,96 m2,165 m2,Lain-lain,-
"Rp 1,3 Miliar Rp 40 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,59 m2,90 m2,HGB,-
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,135 m2,181 m2,SHM,-
"Rp 2,35 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,233 m2,162 m2,SHM,-
Rp 675 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,-,124.1 m2,200 m2,Lain-lain,-
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,96 m2,180 m2,HGB,-
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,140 m2,300 m2,SHM,-
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,210 m2,130 m2,SHM,-
Rp 10 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,494 m2,494 m2,SHM,-
Rp 720 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,136 m2,136 m2,SHM,-
Rp 810 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,187 m2,187 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,125 m2,140 m2,SHM,-
